Epoch [1/100], Total Loss: 3.7956, Reconstruction Loss: 2.6153, KL Loss: 1.1804
Epoch [2/100], Total Loss: 2.9538, Reconstruction Loss: 1.6017, KL Loss: 1.3521
Epoch [3/100], Total Loss: 2.8278, Reconstruction Loss: 1.4595, KL Loss: 1.3683
Epoch [4/100], Total Loss: 2.7660, Reconstruction Loss: 1.3908, KL Loss: 1.3753
Epoch [5/100], Total Loss: 2.7279, Reconstruction Loss: 1.3473, KL Loss: 1.3806
Epoch [6/100], Total Loss: 2.7011, Reconstruction Loss: 1.3181, KL Loss: 1.3830
Epoch [7/100], Total Loss: 2.6800, Reconstruction Loss: 1.2957, KL Loss: 1.3843
Epoch [8/100], Total Loss: 2.6634, Reconstruction Loss: 1.2793, KL Loss: 1.3841
Epoch [9/100], Total Loss: 2.6507, Reconstruction Loss: 1.2651, KL Loss: 1.3856
Epoch [10/100], Total Loss: 2.6382, Reconstruction Loss: 1.2527, KL Loss: 1.3855
Epoch [11/100], Total Loss: 2.6301, Reconstruction Loss: 1.2430, KL Loss: 1.3871
Epoch [12/100], Total Loss: 2.6211, Reconstruction Loss: 1.2347, KL Loss: 1.3864
Epoch [13/100], Total Loss: 2.6125, Reconstruction Loss: 1.2272, KL Loss: 1.3853
Epoch [14/100], Total Loss: 2.6067, Reconstruction Loss: 1.2206, KL Loss: 1.3861
Epoch [15/100], Total Loss: 2.6001, Reconstruction Loss: 1.2156, KL Loss: 1.3846
Epoch [16/100], Total Loss: 2.5937, Reconstruction Loss: 1.2095, KL Loss: 1.3842
Epoch [17/100], Total Loss: 2.5896, Reconstruction Loss: 1.2055, KL Loss: 1.3841
Epoch [18/100], Total Loss: 2.5845, Reconstruction Loss: 1.2009, KL Loss: 1.3835
Epoch [19/100], Total Loss: 2.5792, Reconstruction Loss: 1.1962, KL Loss: 1.3829
Epoch [20/100], Total Loss: 2.5756, Reconstruction Loss: 1.1926, KL Loss: 1.3830
Epoch [21/100], Total Loss: 2.5714, Reconstruction Loss: 1.1891, KL Loss: 1.3823
Epoch [22/100], Total Loss: 2.5684, Reconstruction Loss: 1.1853, KL Loss: 1.3831
Epoch [23/100], Total Loss: 2.5646, Reconstruction Loss: 1.1835, KL Loss: 1.3811
Epoch [24/100], Total Loss: 2.5617, Reconstruction Loss: 1.1803, KL Loss: 1.3814
Epoch [25/100], Total Loss: 2.5587, Reconstruction Loss: 1.1774, KL Loss: 1.3813
Epoch [26/100], Total Loss: 2.5558, Reconstruction Loss: 1.1747, KL Loss: 1.3811
Epoch [27/100], Total Loss: 2.5526, Reconstruction Loss: 1.1720, KL Loss: 1.3806
Epoch [28/100], Total Loss: 2.5506, Reconstruction Loss: 1.1702, KL Loss: 1.3804
Epoch [29/100], Total Loss: 2.5485, Reconstruction Loss: 1.1684, KL Loss: 1.3800
Epoch [30/100], Total Loss: 2.5457, Reconstruction Loss: 1.1658, KL Loss: 1.3800
Epoch [31/100], Total Loss: 2.5423, Reconstruction Loss: 1.1630, KL Loss: 1.3793
Epoch [32/100], Total Loss: 2.5408, Reconstruction Loss: 1.1615, KL Loss: 1.3793
Epoch [33/100], Total Loss: 2.5383, Reconstruction Loss: 1.1607, KL Loss: 1.3776
Epoch [34/100], Total Loss: 2.5369, Reconstruction Loss: 1.1592, KL Loss: 1.3777
Epoch [35/100], Total Loss: 2.5341, Reconstruction Loss: 1.1561, KL Loss: 1.3780
Epoch [36/100], Total Loss: 2.5337, Reconstruction Loss: 1.1553, KL Loss: 1.3784
Epoch [37/100], Total Loss: 2.5314, Reconstruction Loss: 1.1540, KL Loss: 1.3774
Epoch [38/100], Total Loss: 2.5294, Reconstruction Loss: 1.1521, KL Loss: 1.3773
Epoch [39/100], Total Loss: 2.5284, Reconstruction Loss: 1.1512, KL Loss: 1.3771
Epoch [40/100], Total Loss: 2.5266, Reconstruction Loss: 1.1498, KL Loss: 1.3768
Epoch [41/100], Total Loss: 2.5246, Reconstruction Loss: 1.1487, KL Loss: 1.3758
Epoch [42/100], Total Loss: 2.5236, Reconstruction Loss: 1.1473, KL Loss: 1.3763
Epoch [43/100], Total Loss: 2.5218, Reconstruction Loss: 1.1464, KL Loss: 1.3754
Epoch [44/100], Total Loss: 2.5203, Reconstruction Loss: 1.1449, KL Loss: 1.3755
Epoch [45/100], Total Loss: 2.5205, Reconstruction Loss: 1.1446, KL Loss: 1.3759
Epoch [46/100], Total Loss: 2.5180, Reconstruction Loss: 1.1433, KL Loss: 1.3747
Epoch [47/100], Total Loss: 2.5172, Reconstruction Loss: 1.1420, KL Loss: 1.3752
Epoch [48/100], Total Loss: 2.5146, Reconstruction Loss: 1.1406, KL Loss: 1.3741
Epoch [49/100], Total Loss: 2.5147, Reconstruction Loss: 1.1398, KL Loss: 1.3749
Epoch [50/100], Total Loss: 2.5134, Reconstruction Loss: 1.1380, KL Loss: 1.3754
