Epoch [1/100], Total Loss: 0.9263, Reconstruction Loss: 0.9230, KL Loss: 0.0034
Epoch [2/100], Total Loss: 0.2057, Reconstruction Loss: 0.2025, KL Loss: 0.0031
Epoch [3/100], Total Loss: 0.1376, Reconstruction Loss: 0.1348, KL Loss: 0.0028
Epoch [4/100], Total Loss: 0.1115, Reconstruction Loss: 0.1090, KL Loss: 0.0026
Epoch [5/100], Total Loss: 0.0961, Reconstruction Loss: 0.0937, KL Loss: 0.0024
Epoch [6/100], Total Loss: 0.0876, Reconstruction Loss: 0.0852, KL Loss: 0.0024
Epoch [7/100], Total Loss: 0.0818, Reconstruction Loss: 0.0795, KL Loss: 0.0023
Epoch [8/100], Total Loss: 0.0776, Reconstruction Loss: 0.0753, KL Loss: 0.0023
Epoch [9/100], Total Loss: 0.0742, Reconstruction Loss: 0.0719, KL Loss: 0.0023
Epoch [10/100], Total Loss: 0.0718, Reconstruction Loss: 0.0695, KL Loss: 0.0023
Epoch [11/100], Total Loss: 0.0698, Reconstruction Loss: 0.0675, KL Loss: 0.0023
Epoch [12/100], Total Loss: 0.0682, Reconstruction Loss: 0.0660, KL Loss: 0.0023
Epoch [13/100], Total Loss: 0.0669, Reconstruction Loss: 0.0646, KL Loss: 0.0022
Epoch [14/100], Total Loss: 0.0657, Reconstruction Loss: 0.0634, KL Loss: 0.0022
Epoch [15/100], Total Loss: 0.0646, Reconstruction Loss: 0.0624, KL Loss: 0.0022
Epoch [16/100], Total Loss: 0.0638, Reconstruction Loss: 0.0615, KL Loss: 0.0022
Epoch [17/100], Total Loss: 0.0629, Reconstruction Loss: 0.0607, KL Loss: 0.0022
Epoch [18/100], Total Loss: 0.0624, Reconstruction Loss: 0.0601, KL Loss: 0.0022
Epoch [19/100], Total Loss: 0.0617, Reconstruction Loss: 0.0594, KL Loss: 0.0022
Epoch [20/100], Total Loss: 0.0611, Reconstruction Loss: 0.0589, KL Loss: 0.0022
Epoch [21/100], Total Loss: 0.0606, Reconstruction Loss: 0.0584, KL Loss: 0.0022
Epoch [22/100], Total Loss: 0.0600, Reconstruction Loss: 0.0578, KL Loss: 0.0022
Epoch [23/100], Total Loss: 0.0596, Reconstruction Loss: 0.0574, KL Loss: 0.0022
Epoch [24/100], Total Loss: 0.0592, Reconstruction Loss: 0.0569, KL Loss: 0.0022
Epoch [25/100], Total Loss: 0.0588, Reconstruction Loss: 0.0565, KL Loss: 0.0022
Epoch [26/100], Total Loss: 0.0583, Reconstruction Loss: 0.0561, KL Loss: 0.0022
Epoch [27/100], Total Loss: 0.0580, Reconstruction Loss: 0.0558, KL Loss: 0.0022
