Epoch [1/50], Total Loss: 0.2475, Reconstruction Loss: 0.1268, KL Loss: 0.1208
Epoch [2/50], Total Loss: 0.1976, Reconstruction Loss: 0.0721, KL Loss: 0.1254
Epoch [3/50], Total Loss: 0.1920, Reconstruction Loss: 0.0678, KL Loss: 0.1242
Epoch [4/50], Total Loss: 0.1890, Reconstruction Loss: 0.0656, KL Loss: 0.1234
Epoch [5/50], Total Loss: 0.1869, Reconstruction Loss: 0.0642, KL Loss: 0.1227
Epoch [6/50], Total Loss: 0.1852, Reconstruction Loss: 0.0631, KL Loss: 0.1221
Epoch [7/50], Total Loss: 0.1838, Reconstruction Loss: 0.0621, KL Loss: 0.1217
Epoch [8/50], Total Loss: 0.1827, Reconstruction Loss: 0.0614, KL Loss: 0.1214
Epoch [9/50], Total Loss: 0.1818, Reconstruction Loss: 0.0607, KL Loss: 0.1211
Epoch [10/50], Total Loss: 0.1810, Reconstruction Loss: 0.0602, KL Loss: 0.1208
Epoch [11/50], Total Loss: 0.1803, Reconstruction Loss: 0.0597, KL Loss: 0.1206
Epoch [12/50], Total Loss: 0.1796, Reconstruction Loss: 0.0593, KL Loss: 0.1204
Epoch [13/50], Total Loss: 0.1792, Reconstruction Loss: 0.0589, KL Loss: 0.1202
Epoch [14/50], Total Loss: 0.1787, Reconstruction Loss: 0.0586, KL Loss: 0.1201
Epoch [15/50], Total Loss: 0.1781, Reconstruction Loss: 0.0583, KL Loss: 0.1198
Epoch [16/50], Total Loss: 0.1778, Reconstruction Loss: 0.0580, KL Loss: 0.1198
Epoch [17/50], Total Loss: 0.1774, Reconstruction Loss: 0.0577, KL Loss: 0.1197
Epoch [18/50], Total Loss: 0.1770, Reconstruction Loss: 0.0575, KL Loss: 0.1195
Epoch [19/50], Total Loss: 0.1768, Reconstruction Loss: 0.0573, KL Loss: 0.1195
Epoch [20/50], Total Loss: 0.1765, Reconstruction Loss: 0.0571, KL Loss: 0.1194
Epoch [21/50], Total Loss: 0.1763, Reconstruction Loss: 0.0570, KL Loss: 0.1193
Epoch [22/50], Total Loss: 0.1760, Reconstruction Loss: 0.0568, KL Loss: 0.1192
Epoch [23/50], Total Loss: 0.1758, Reconstruction Loss: 0.0567, KL Loss: 0.1191
Epoch [24/50], Total Loss: 0.1756, Reconstruction Loss: 0.0565, KL Loss: 0.1191
Epoch [25/50], Total Loss: 0.1754, Reconstruction Loss: 0.0564, KL Loss: 0.1191
Epoch [26/50], Total Loss: 0.1753, Reconstruction Loss: 0.0562, KL Loss: 0.1190
Epoch [27/50], Total Loss: 0.1751, Reconstruction Loss: 0.0561, KL Loss: 0.1189
Epoch [28/50], Total Loss: 0.1749, Reconstruction Loss: 0.0560, KL Loss: 0.1190
Epoch [29/50], Total Loss: 0.1748, Reconstruction Loss: 0.0559, KL Loss: 0.1189
Epoch [30/50], Total Loss: 0.1746, Reconstruction Loss: 0.0558, KL Loss: 0.1188
Epoch [31/50], Total Loss: 0.1746, Reconstruction Loss: 0.0557, KL Loss: 0.1189
Epoch [32/50], Total Loss: 0.1744, Reconstruction Loss: 0.0556, KL Loss: 0.1188
Epoch [33/50], Total Loss: 0.1742, Reconstruction Loss: 0.0555, KL Loss: 0.1186
Epoch [34/50], Total Loss: 0.1741, Reconstruction Loss: 0.0555, KL Loss: 0.1186
Epoch [35/50], Total Loss: 0.1740, Reconstruction Loss: 0.0554, KL Loss: 0.1186
Epoch [36/50], Total Loss: 0.1738, Reconstruction Loss: 0.0553, KL Loss: 0.1185
Epoch [37/50], Total Loss: 0.1737, Reconstruction Loss: 0.0552, KL Loss: 0.1185
Epoch [38/50], Total Loss: 0.1737, Reconstruction Loss: 0.0552, KL Loss: 0.1185
Epoch [39/50], Total Loss: 0.1736, Reconstruction Loss: 0.0551, KL Loss: 0.1184
Epoch [40/50], Total Loss: 0.1735, Reconstruction Loss: 0.0550, KL Loss: 0.1185
Epoch [41/50], Total Loss: 0.1734, Reconstruction Loss: 0.0550, KL Loss: 0.1184
Epoch [42/50], Total Loss: 0.1733, Reconstruction Loss: 0.0549, KL Loss: 0.1184
Epoch [43/50], Total Loss: 0.1731, Reconstruction Loss: 0.0548, KL Loss: 0.1183
Epoch [44/50], Total Loss: 0.1730, Reconstruction Loss: 0.0548, KL Loss: 0.1182
Epoch [45/50], Total Loss: 0.1730, Reconstruction Loss: 0.0548, KL Loss: 0.1182
Epoch [46/50], Total Loss: 0.1729, Reconstruction Loss: 0.0547, KL Loss: 0.1182
Epoch [47/50], Total Loss: 0.1728, Reconstruction Loss: 0.0546, KL Loss: 0.1182
Epoch [48/50], Total Loss: 0.1727, Reconstruction Loss: 0.0546, KL Loss: 0.1181
Epoch [49/50], Total Loss: 0.1726, Reconstruction Loss: 0.0545, KL Loss: 0.1181
Epoch [50/50], Total Loss: 0.1725, Reconstruction Loss: 0.0545, KL Loss: 0.1180
